ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Refrigerant Type,Refrigerant with GWP,Connected Functionality,Connects Using,Connected Functionality Tested,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2025 Criteria
2399492,"True Manufacturing Company, Inc",TUR-24-R-SS-C,",TUR-24-L-OP-C,; ,TUR-24-L-SS-C,; ,TUR-24-R-OP-C,; ,TUR-24BD-L-OP-C,; ,TUR-24BD-L-SS-C,; ,TUR-24BD-R-OP-C,; ,TUR-24BD-R-SS-C,; ,TUR-24DD-L-OP-C,; ,TUR-24DD-L-SS-C,; ,TUR-24DD-R-OP-C,; ,TUR-24DD-R-SS-C,",,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,1,0,0,0,1,34.0,24.0,5.6,5.6,279,311.0,,R-600a,R-600a (GWP:3 | Lower GWP),0,,0.0,,0.0,2022-07-27,2022-08-03,"United States, Canada",ES_3320_TUR-24-R-SS-C_07282022081252_3339654,0
2667939,True Refrigeration,TUR-24-R-SS-C,",TBC-24-L-OG-C,; ,TBC-24-L-OP-C,; ,TBC-24-L-SG-C,; ,TBC-24-R-OG-C,; ,TBC-24-R-OP-C,; ,TBC-24-R-SG-C,; ,TUR-24-L-OG-C,; ,TUR-24-L-OP-C,; ,TUR-24-L-SG-C,; ,TUR-24-L-SS-C,; ,TUR-24-R-OG-C,; ,TUR-24-R-OP-C,; ,TUR-24-R-SG-C,",810186210427;810186210434;810186210441;810186210458;810186210465;810186210472;810186210489;810186210496;810186210663;810186210670;810186210687;810186210694;810186210700;810186210717,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,1,0,0,0,1,34.3,23.9,5.6,5.6,279,311.0,,R-600a,R-600a (GWP:3 | Lower GWP),0,,0.0,,0.0,2023-09-15,2023-09-15,"United States, Canada",ES_3320_TUR-24-*-*G-C_09152023153047_4166375,0
4049643,Maytag,MRMF5436TZ,",,Brand Name: Maytag",,Bottom Freezer,5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,Automatic,0,0,1,1,0,71.0,39.0,28.9,35.7,733,806.0,,,,0,,,,,2025-05-19,2025-05-21,"United States, Canada",ES_22856_MRMF5436TZ_052120250206387_1159064,0
2394563,Omnimax,3750-247,",,Icemaker-Ready Product (without icemaker).",822733388374,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,0,0,0,0,0,66.6,29.5,18.7,22.9,466,520.0,,,,0,,,,,2024-11-07,2024-11-18,Canada,ES_1136068_3750-247_041120220543261_8718861,0
3798802,Omnimax,3750-247,",,Icemaker-Ready Product (with icemaker).",822733388374,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,0,0,0,1,0,66.6,29.5,18.7,22.9,550,604.0,,,,0,,,,,2024-11-08,2024-11-18,Canada,ES_1136068_3750-247_111820240155493_1207996,0
2346534,Smeg,FAB28UL*#,",FAB28UR*#,",812895022834;812895022841;812895022858;812895022865;812895022872;812895022889;812895022896;812895022902;812895022919;812895022926;812895022933;812895022940;812895022957;812895022964;812895022971;812895022988;812895022995;812895023008;812895023015;812895023022;812895023039;812895023046;812895023053;812895023060;812895023077;812895023084;812895023091;812895023107;812895023114;812895023121;812895023671;812895024180,Freezerless and Single Door,1 - Refrigerator-Freezer and Refrigerator other than All-Refrigerator - manual defrost,Manual,0,0,0,0,1,59.1,23.6,9.5,10.0,230,305.0,,R-600a,R-600a (GWP:3 | Lower GWP),0,,0.0,,0.0,2019-08-08,2019-09-16,"United States, Canada",ES_92281_FAB28UL*#_09162019092618_1184045,0
2342917,Smeg,FAB32UL*#,",FAB32UR*#,",,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,0,0,0,0,1,78.0,23.7,12.0,14.6,378,446.0,,,,0,,,,,2019-03-05,2019-08-02,"United States, Canada",ES_92281_FAB32UL*#; FAB32UR*#_05282019101133_103265,0
2351257,Smeg,FAB5UL*#,",FAB5UR*#,",812895024173;812895024203;812895024210;812895024227;812895024234;812895024241;812895024258;812895024265;812895024272;812895024289;812895024296;812895024302;812895024319,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,1,0,0,0,0,29.1,15.9,1.2,1.2,210,270.0,,,,0,,,,,2020-01-01,2019-12-06,"United States, Canada",ES_92281_FAB5UL*#_12062019145935_3794366,0
2265096,Microfridge,3.0RMF4RHS,",,Unit with easy grip handle",67638006316,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,1,0,0,0,0,33.3,18.6,3.0,3.6,319,357.0,,,,0,,0.0,,,2016-06-01,2016-04-15,"United States, Canada",ES_0092273_3.0RMF4RHS_04212016124449_70074945,0
2265092,Microfridge,3.0RMF4RHW,",,Unit with easy grip handle",67638006385,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,1,0,0,0,0,33.3,18.6,3.0,3.6,319,357.0,,,,0,,0.0,,,2016-06-01,2016-04-15,"United States, Canada",ES_0092273_3.0RMF4RHW_04212016124449_70074945,0
2265106,Microfridge,4.8LMF4RHW,",,Unit with easy grip handle",67638006415,Compact Refrigerator,13 - Compact refrigerator-freezers - automatic defrost with top-mounted freezer,Automatic,1,0,0,0,0,46.0,18.6,4.8,5.8,346,408.0,,,,0,,0.0,,,2016-06-01,2016-04-15,"United States, Canada",ES_0092273_4.8LMF4RHW_04212016124449_70074945,0
