ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Product Type,Oven Classification,Size,Heat Source Fuel Type,Input Rate (kW),Input Rate (Btu/hr),Gas Oven Convection Mode Pre-Heat Energy (Btu),Electric Oven Convection Mode Pre-Heat Energy (kWh),Convection Mode Pre-Heat Time (min),Gas Oven Steam Mode Pre-Heat Energy (Btu),Electric Oven Steam Mode Pre-Heat Energy (kWh),Steam Mode Pre-Heat Time (min),Electric Oven Convection Mode Idle Energy Rate (kW),Gas Oven Convection Mode Idle Energy Rate (Btu/hr),Gas Oven Convection Mode Electric Idle Energy Rate (kW),Gas Oven Convection Mode Total Idle Energy Rate (Btu/hr),Method of Steam Generation,Half-Size and Full-Size Steam Pan Capacity,Two-Thirds-Size Steam Pan Capacity,Half-Size Sheet Pan Capacity,Full-Size Sheet Pan Capacity,Electric Oven Steam Mode Idle Energy Rate (kW),Gas Oven Steam Mode Idle Energy Rate (Btu/hr),Gas Oven Steam Mode Electric Idle Energy Rate (kW),Gas Oven Steam Mode Total Idle Energy Rate (Btu/hr),Convection Mode Cooking Energy Efficiency (%),Steam Mode Cooking Energy Efficiency (%),Convection Mode Production Capacity (lbs/hr),Steam Mode Production Capacity (lbs/hr),Convection Mode Cooking Period Water Consumption (gal/pan),Convection Mode Idle Period Water Consumption (gal/hr/pan),Steam Mode Cooking Period Water Consumption (gal/pan),Steam Mode Idle Period Water Consumption (gal/hr/pan),Rack Oven Baking-Energy Efficiency (%),Baking Production Capacity (lbs/hr),Set-Back Idle Mode,Steam Injection Period Water Consumption (gal/min),Date Available on Market,Date Certified,Markets,CB Model Identifier
2407804,"Alto-Shaam, Inc.",Alto-Shaam - Prodigi Pro,CTP7-20G,CTP7-20G,,,Combination,"Type I - Table, countertop, and stand mounted units",Full-size,Gas,,98000.0,7018.0,,4.75,6967.0,,4.35,,5411.0,0.62,7526.0,Boiler-less/Spritzer/Injector,16.0,,,16.0,,8896.0,0.58,10875.0,65.0,52.0,157.0,230.0,0.17,0.0,0.13,0.05,,,,,2023-02-01,2023-02-02,"United States, Canada",ES_1017906_CTP7-20G_12302016141928_7568140
3478013,American Range Corporation,American Range,M-HE,M-HE,,,Convection,Type II - Floor and roll-in units,Full-size,Gas,,70000.0,12801.0,,11.97,,,,,8325.0,0.01,8325.0,Boiler-less/Spritzer/Injector,,,,5.0,,,,,52.0,,93.07,,0.0,0.0,,,,,,,2020-04-15,2024-04-09,"United States, Canada",ES_1099057_M1-HE_04092024135542_2308923
3387800,American Range Corporation,American Range,MSD-HE,MSD-HE,,,Convection,Type II - Floor and roll-in units,Full-size,Gas,,54000.0,9657.0,,11.18,,,,,8671.0,0.65,10899.0,Boiler-less/Spritzer/Injector,,,,5.0,,,,,51.0,,96.51,,0.0,0.0,,,,,,,2020-04-15,2024-01-26,United States,ES_1099057_MSD-1HE_01262024132956_6127893
3998214,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,AT122E,AT122E,,,Combination,Type II - Floor and roll-in units,Full-size,Electric,26.0,,,2.0,4.1,,1.0,3.02,1.8,,,,Boiler-less/Spritzer/Injector,24.0,,,24.0,2.06,,,,80.0,63.0,194.0,227.0,0.04,0.03,0.09,0.06,,,,,2025-03-01,2025-02-18,"United States, Canada",ES_1142603_AT122E_021820252219607_7552723
4016320,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,AT122E**,AT122E**,,,Combination,Type II - Floor and roll-in units,Full-size,Electric,26.0,,,2.0,4.1,,1.0,3.02,1.8,,,,Boiler-less/Spritzer/Injector,24.0,,,24.0,2.06,,,,80.0,63.0,194.0,227.0,0.04,0.03,0.09,0.06,,,,0.0,2025-05-01,2025-04-25,"United States, Canada",ES_1142603_AT122E**_042520252035571_3457105
3998215,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,AT122G,AT122G,,,Combination,Type II - Floor and roll-in units,Full-size,Gas,,121000.0,8888.0,,4.41,5167.0,,2.58,,6299.0,0.4,7596.0,Boiler-less/Spritzer/Injector,24.0,,,24.0,,8153.0,0.33,9292.0,61.0,55.0,189.0,260.0,0.05,,0.11,0.04,,,,,2025-03-01,2025-02-18,"United States, Canada",ES_1142603_AT122G_021820252220517_5858621
4016321,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,AT122G**,AT122G**,,,Combination,Type II - Floor and roll-in units,Full-size,Gas,,121000.0,8888.0,,4.41,5167.0,,2.58,,6299.0,0.4,7596.0,Boiler-less/Spritzer/Injector,24.0,,,24.0,,8153.0,0.33,9292.0,61.0,55.0,189.0,260.0,0.05,,0.11,0.04,,,,,2025-05-01,2025-04-25,"United States, Canada",ES_1142603_AT122G**_042520252033215_1617455
3998216,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,AT82E,AT82E,,,Combination,Type II - Floor and roll-in units,Full-size,Electric,18.5,,,1.0,4.34,,1.0,2.56,0.7,,,,Boiler-less/Spritzer/Injector,16.0,,,16.0,0.83,,,,79.0,62.0,132.0,176.0,,,0.11,0.07,,,,,2025-03-01,2025-02-18,"United States, Canada",ES_1142603_AT82E_021820252220117_7765001
4016322,Angelo Po Grandi Cucine S.p.A. con Socio Unico,Angelo Po,AT82E**,AT82E**,,,Combination,Type II - Floor and roll-in units,Full-size,Electric,18.5,,,1.0,4.34,,1.0,2.56,0.7,,,,Boiler-less/Spritzer/Injector,16.0,,,16.0,0.83,,,,79.0,62.0,132.0,176.0,,,0.11,0.07,,,,0.0,2025-05-01,2025-04-25,"United States, Canada",ES_1142603_AT82E**_042520252036716_4784830
4439622,Convotherm (A division of Welbilt),Convotherm,Cmn 10.10 pro BL,Cmn 10.10 pro BL,,,Combination,Type II - Floor and roll-in units,Full-size,Electric,8.3,,,1.0,4.92,,0.0,2.08,0.72,,,,Boiler-less/Spritzer/Injector,8.0,,,,0.89,,,,80.0,70.0,,,,0.0,,0.13,,,,,2025-06-06,2025-07-01,"United States, Canada",ES_1123347_Cmn 10.10 pro BL_061020250910471_3745912
