ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Height (inches),Width (inches),Depth (inches),Weight (lbs),Cooling Capacity (Btu/hr),Voltage (volts),Type,Installation Mounting Type,Support Bracket,Heating Mode,Product Class,Variable Speed Compressor,Refrigerant Type,Refrigerant with GWP,Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Capable,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2025 Criteria
2620526,Midea,MW12MSWBA5RCM,,687636005984,13.5,19.2,22.0,53.1,12000,115,Window,Straddles Window,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,600.0,0,2023-07-18,2023-07-18,"United States, Canada",ES_1138537_MW12MSWBA5RCM_07272023171057_80176132,0
3890975,Keplerx,KARC12RSVE1,,810112573282,14.6,19.1,21.8,50.7,12000,115,Window,Does Not Straddle Window or Windowsill,0,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,600.0,0,2024-12-13,2024-12-13,"United States, Canada",ES_1055302_KARC12RSVE1_12132024113552,0
3890976,Keplerx,KARC14RSVE1,,810112573299,14.7,21.7,19.0,56.0,14000,115,Window,Does Not Straddle Window or Windowsill,0,0,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,700.0,0,2024-12-13,2024-12-13,"United States, Canada",ES_1055302_KARC14RSVE1_12132024113552,0
3890973,Keplerx,KARC8RSVE1,,810112573268,13.5,18.6,19.6,44.1,8000,115,Window,Does Not Straddle Window or Windowsill,0,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,400.0,0,2024-12-13,2024-12-13,"United States, Canada",ES_1055302_KARC8RSVE1_12132024113552,0
3890977,Keplerx,KBRC18RSVE2,,810112573305,17.9,23.6,25.4,95.9,18000,230,Window,Does Not Straddle Window or Windowsill,0,0,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,900.0,0,2024-12-13,2024-12-13,"United States, Canada",ES_1055302_KBRC18RSVE2_12132024113552,0
3798689,Keystone,KSTAW081WA,,840148729759,13.5,18.6,19.6,44.1,8000,115,Window,Does Not Straddle Window or Windowsill,0,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,400.0,0,2024-11-24,2024-11-14,"United States, Canada",ES_1055302_KSTAW081WA_11142024120904_80206320,0
3387781,Keystone,KSTAW08INV,,840148724358,13.5,19.2,22.0,53.1,8000,115,Window,Straddles Window,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,400.0,0,2024-01-29,2024-01-29,"United States, Canada",ES_1055302_KSTAW08INV_01292024112932_80198612,0
2453073,Keystone,KSTAW08INV-HC,,840148724389,13.9,19.4,22.2,56.0,8000,115,Window,Straddles Window,0,1,"11. With reverse cycle, with louvered sides, and less than 20,000 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),14.5,,414.0,0,2023-04-04,2023-04-07,"United States, Canada",ES_1055302_KSTAW08INV-HC_040720230730708_5821191,1
3798690,Keystone,KSTAW101WA,,840148729766,13.5,18.6,19.6,46.1,10000,115,Window,Does Not Straddle Window or Windowsill,0,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,500.0,0,2024-11-24,2024-11-14,"United States, Canada",ES_1055302_KSTAW101WA_11142024120904_80206320,0
3387782,Keystone,KSTAW10INV,,840148724365,13.5,19.2,22.0,54.0,10000,115,Window,Straddles Window,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,500.0,0,2024-01-29,2024-01-29,"United States, Canada",ES_1055302_KSTAW10INV_01292024112932_80198612,0
3798691,Keystone,KSTAW121WA,,840148729773,14.6,19.1,21.8,50.7,12000,115,Window,Does Not Straddle Window or Windowsill,0,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,600.0,0,2024-11-24,2024-11-14,"United States, Canada",ES_1055302_KSTAW121WA_11142024120904_80206320,0
3387783,Keystone,KSTAW12INV,,840148724372,13.5,19.2,22.0,56.9,12000,115,Window,Straddles Window,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,600.0,0,2024-01-29,2024-01-29,"United States, Canada",ES_1055302_KSTAW12INV_01292024112932_80198612,0
2453074,Keystone,KSTAW12INV-HC,,840148724396,13.9,19.4,22.2,58.0,12000,115,Window,Straddles Window,0,1,"11. With reverse cycle, with louvered sides, and less than 20,000 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),13.3,,677.0,0,2023-04-04,2023-04-07,"United States, Canada",ES_1055302_KSTAW12INV-HC_040720230733943_5670808,0
3890971,Keystone,KSTAW141WA,,,14.7,21.7,19.0,56.0,14000,115,Window,Does Not Straddle Window or Windowsill,0,0,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,700.0,0,2024-12-13,2024-12-13,"United States, Canada",ES_1055302_KSTAW141WA_12132024113552,0
3798692,Keystone,KSTAW182WA,",,Dual voltage 230/208",840148729797,17.9,23.6,25.4,95.9,18000,230,Window,Does Not Straddle Window or Windowsill,0,0,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,900.0,0,2024-11-24,2024-11-14,"United States, Canada",ES_1055302_KSTAW182WA_11142024120904_80206320,0
4480276,Kinghome,KHWA09IN,,,15.3,26.0,27.5,116.0,9300,115,Window,Straddles Window,1,1,"11. With reverse cycle, with louvered sides, and less than 20,000 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),14.4,,484.0,0,2025-06-15,2025-06-16,"United States, Canada",ES_1105164_KHWA09IN_07252025115409_80258695,1
3942841,Ktaxon,TIWC-08CRD1,,198715886443,13.4,20.7,19.3,56.2,8000,115,Window,Does Not Straddle Window or Windowsill,0,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,400.0,0,2025-01-03,2025-01-17,"United States, Canada",ES_1151257_TIWC-08CRD1_01112025103942_2111017,0
3942842,Ktaxon,TIWC-10CRD1,,198715454147,13.4,20.7,19.3,57.8,10000,115,Window,Does Not Straddle Window or Windowsill,0,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,500.0,0,2025-01-03,2025-01-17,"United States, Canada",ES_1151257_TIWC-10CRD1_01112025104241_2603723,0
3942843,Ktaxon,TIWC-12CRD1,,198715556094,13.4,20.7,19.3,58.6,12000,115,Window,Does Not Straddle Window or Windowsill,0,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,600.0,0,2025-01-03,2025-01-17,"United States, Canada",ES_1151257_TIWC-12CRD1_01112025104523_7929651,0
2668628,Lg,LW1022FVSM,,048231606356,12.4,19.6,24.5,63.0,10000,116,Window,Straddles Windowsill,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,500.0,0,2023-07-24,2023-09-27,United States,ES_1118034_LW1022FVSM_092620230505831_4537537,0
2668629,Lg,LW1022IVSM,,048231605878,12.4,19.6,24.5,63.0,10000,116,Window,Straddles Windowsill,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,500.0,0,2023-07-24,2023-09-27,United States,ES_1118034_LW1022IVSM_092620230505166_2375181,0
2668630,Lg,LW1222IVSM,,048231605885,15.0,23.6,28.8,85.0,12000,115,Window,Straddles Window,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,600.0,0,2023-07-24,2023-09-27,United States,ES_1118034_LW1222IVSM_092620230505865_8222880,0
2740373,Lg,LW1224IVSM,,048231607315,15.0,23.6,28.8,85.0,12000,115,Window,Does Not Straddle Window or Windowsill,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,600.0,0,2023-11-01,2023-11-01,"United States, Canada",ES_1118034_LW1224IVSM_11202023125113_80190901,0
3360621,Lg,LW1522FVSM,,048231607421,15.0,23.6,28.8,85.0,14000,115,Window,Straddles Windowsill,1,0,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),14.7,,714.0,0,2024-01-02,2024-01-08,United States,ES_1118034_LW1522FVSM_010820240822821_2187901,0
2668627,Lg,LW1522IVSM,,048231605892,15.0,23.6,28.8,85.0,14000,115,Window,Straddles Windowsill,1,0,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),14.7,,714.0,0,2023-07-24,2023-09-27,United States,ES_1118034_LW1522IVSM_092620230506611_6980335,0
2687060,Lg,LW1822IVSM,,048231605908,17.7,26.0,30.7,112.0,18000,230,Window,Does Not Straddle Window or Windowsill,1,0,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),14.7,,918.0,0,2023-08-28,2023-09-18,"United States, Canada",ES_1118034_LW1822IVSM_09222023104627_80182318,0
2687059,Lg,LW6023IVSM,,048231606752,12.4,19.6,24.5,62.0,6000,115,Window,Does Not Straddle Window or Windowsill,0,0,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.5,,290.0,0,2023-08-28,2023-09-18,"United States, Canada",ES_1118034_LW6023IVSM_09222023104621_80182319,1
