"ENERGY STAR Unique ID","ENERGY STAR Partner","Brand Name","Model Name","Model Number","Additional Model Information","UPC","Product Type","Application","Display Type","Backlight Technology Type","Diagonal Viewable Screen Size (in.)","Screen Area (sq. in.)","Native Horizontal Resolution (pixels)","Native Vertical Resolution (pixels)","Resolution Format","High Contrast Ratio (HCR) Display","Physical Data Ports Available","Ethernet Supported","Low Power Wireless Technologies Supported","Features","Automatic Brightness Control","Is Automatic Brightness Control Enabled by Default in the Default SDR Preset Picture Setting When Television is Shipped?","Average On Mode Power Consumption for Certification (watts)","Maximum Average On Mode Power for Certification (watts)","Reported On Mode Power (per the Federal Test Procedure) (watts)","Reported Annual Energy Consumption (kWh)","Measured Standby Mode Power (Watts)","Power Consumption in Standby Mode when Not Connected to a Network (watts)","Power Consumption in Standby Mode when Connected to a Network (watts)","Reported Standby-Active, Low Mode Power (watts)","Date Available On Market","Date Certified","Markets","CB Model Identifier"
"2837275","LG Electronics, Inc.","LG","OLED48C4PU*","OLED48C4PU*","OLED48C4AU*,OLED48C4AU*,OLED48C4AU* is the same as OLED48C4PU* except for model designation.* may be any alphanumeric according to color of stand or enclosure","195174077191;195174077283","Television (TV)","Consumer","OLED","OLED","47.5","965.32","3840","2160","4K (UHD)","Yes","Universal Serial Bus (USB),Other,RS-232,HDMI","Fast Ethernet (100 Mbit/s)","Bluetooth","Quick Start,Wake-On-Cast Compatibility,Control Via Remote Control App,Control Via Smart Speaker,Automatic Brightness Control,User Adjustable Backlight","Yes","No","83.1","96.3","83.1","155",,"0.3","0.5","0.5","02/20/2024","12/04/2023","United States","ES_1118034_OLED48C4PU*_120420231425341_4673717"
"2508459","ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED","Sansui","LE-50V1","LE-50V1",",*****50*********,; ,C50TAUG,; ,C50VAUG,; ,E400GD50G-G,; ,LE-50TA1,; ,LE-50TA2,; ,LE-50TA3,; ,LE-50TA4,; ,LE-50TA5,; ,LE-50V4,; ,LE-50VA1,; ,LE-50VA2,; ,LE-50VA3,; ,LE-50VA4,; ,LE-50VA5,; ,PG50***,; ,PG50SKA,; ,PG50SMA,; ,PTGU50**,; ,RTA50****,; ,RTA5002,; ,RTA5002-B,; ,RTAQ5033,; ,RTAU****,; ,RTAU5050,; ,RTAU5050-B,; ,RTGU50**,; ,RTGU5070,; ,S50TAUG,; ,S50VAUG,; ,SC-****GTV,; ,SC-5050GTV,; ,WG50UX4210,","","Television (TV)","Consumer","LCD","Direct-lit LED","49.5","1,048.11","3840","2160","Other","No","Universal Serial Bus (USB),HDMI","None","None","None","No","N/A","61.72","101.75","72.52","134.85",,"0.31","0.36","0.36","06/16/2023","06/19/2023","United States, Canada","ES_25251_LE-50V1_06082023171105_9989129"
"3477694","ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED","Sansui","LE-50VA1","LE-50VA1",",*****50*****.,; ,LE-50T1,; ,LE-50T2,; ,LE-50T3,; ,LE-50TA1,; ,LE-50TA2,; ,LE-50TA3,; ,LE-50V1,; ,LE-50V2,; ,LE-50V3,; ,LE-50VA2,; ,LE-50VA3,; ,LE-50VB1,; ,LE-50VB2,; ,LE-50VB3,; ,LE-50VH1,; ,LE-50VH2,; ,LE-50VH3,; ,LE-50VS1,; ,LE-50VS2,; ,LE-50VS3,; ,S50VAUW,","","Television (TV)","Consumer","LCD","Direct-lit LED","49.61","1,051.78","3840","2160","4K (UHD)","No","Universal Serial Bus (USB),HDMI","None","None","None","No","N/A","68.37","88.01","68.37","126.94",,"0.19","0.31","0","04/26/2024","05/07/2024","United States, Canada","ES_25251_LE-50VA1_04252024163757_7975274"
"3555272","ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED","Sansui","LE-55TA1","LE-55TA1",",C55V1UW,; ,C55VAUW,; ,LE-55T1,; ,LE-55T2,; ,LE-55T3,; ,LE-55TA2,; ,LE-55TA3,; ,LE-55V1,; ,LE-55V2,; ,LE-55V3,; ,LE-55VA1,; ,LE-55VA2,; ,LE-55VA3,; ,LE-55VB1,; ,LE-55VB2,; ,LE-55VB3,; ,S55V1UW,; ,S55VAUW,; ,S55VNUW.,","","Television (TV)","Consumer","LCD","Direct-lit LED","54.7","1,275.3","2160","3840","4K (UHD)","No","Universal Serial Bus (USB),HDMI","None","None","None","No","N/A","79.5","93.95","79.5","147","0.29","0.28","0.29","1","12/30/2024","07/12/2024","United States, Canada","ES_25251_LE-55TA1_07122024132950_9064752"
"2508411","ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED","Sansui","LE-55V4","LE-55V4",",*****55*********,; ,C55TAUG,; ,C55VAUG,; ,E400GD55G-G,; ,LE-55TA1,; ,LE-55TA2,; ,LE-55TA3,; ,LE-55TA4,; ,LE-55TA5,; ,LE-55VA1,; ,LE-55VA2,; ,LE-55VA3,; ,LE-55VA4,; ,LE-55VA5,; ,PG55***,; ,PG55SKA,; ,S55TAUG,; ,S55VAUG,; ,SC-****GTV,; ,SC-5550GTV,; ,WG55UX4212,","","Television (TV)","Consumer","LCD","Direct-lit LED","55","1,292.46","3840","2160","Other","No","Universal Serial Bus (USB),HDMI","None","None","None","No","N/A","72.52","116.75","72.52","134.85",,"0.31","0.36","0.36","05/31/2023","06/16/2023","United States, Canada","ES_25251_LE-55V4_06082023150442_73358"
"3994378","ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED","Sansui","LE-55VO","LE-55VO",",*****55*******.,; ,C55VOUG,; ,LE-55*****,; ,LE-55VO1,; ,OLE-55VO1,; ,S55VOUG,","","Television (TV)","Consumer","LCD","Direct-lit LED","54.6","1,275.7","2160","3840","4K (UHD)","No","Universal Serial Bus (USB),HDMI","None","None","None","No","N/A","86.67","115.39","86.81","160.5","0.3","0.3","0.3","0.55","12/24/2024","01/04/2025","United States, Canada","ES_25251_LE-55VO_01072025193701_1383325"
"2452884","ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED","Sansui","LE-65V1","LE-65V1",",*****65*********,; ,C65TAUG,; ,C65VAUG,; ,LE-65TA1,; ,LE-65TA2,; ,LE-65TA3,; ,LE-65TA4,; ,LE-65V4,; ,LE-65VA1,; ,LE-65VA2,; ,LE-65VA3,; ,LE-65VA4,; ,LE-65VA5,; ,S65TAUG,; ,S65VAUG,","","Television (TV)","Consumer","LCD","Direct-lit LED","64.4","1,773.32","3840","2160","Other","No","Universal Serial Bus (USB),HDMI","None","None","None","No","N/A","127.87","148.79","127.87","235.44",,"0.39","0","0","03/07/2023","03/17/2023","United States, Canada","ES_25251_LE-65V1_03252023095508_7908441"
"2472801","ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED","Sansui","LE-75VA1","LE-75VA1",",*****75*********,; ,C75TAUG,; ,C75VAUG,; ,S75TAUG,; ,S75VAUG,","","Television (TV)","Consumer","LCD","Direct-lit LED","74.37","2,368.25","3840","2160","4K (UHD)","No","Universal Serial Bus (USB),HDMI","None","None","None","No","N/A","148.56","185.86","148.56","273.48",,"0.34","0.34","0","04/28/2023","05/05/2023","United States, Canada","ES_25251_LE-75VA1_05042023194525_157586"
"3624406","ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED","Sansui","LE-75VH5","LE-75VH5",",****75****.,; ,C75VHUG,; ,LE-75T1,; ,LE-75T2,; ,LE-75T3,; ,LE-75TA1,; ,LE-75TA2,; ,LE-75TA3,; ,LE-75V1,; ,LE-75V2,; ,LE-75V3,; ,LE-75VA1,; ,LE-75VA2,; ,LE-75VA3,; ,LE-75VB1,; ,LE-75VB2,; ,LE-75VB3,; ,S75VHUG,","","Television (TV)","Consumer","LCD","Direct-lit LED","74.3","2,361.86","2160","3840","4K (UHD)","No","Universal Serial Bus (USB),HDMI","None","None","None","No","N/A","119.51","125.44","119.51","220.19","0.3","0.29","0.3","1","07/21/2024","08/27/2024","United States, Canada","ES_25251_LE-75VH5_08212024192650_3731347"
"3530998","ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED","SANSUI.","LE-85TE1","LE-85TE1",",****85*********.,; ,LE-85T1,; ,LE-85V1,; ,S85TEUG,","","Television (TV)","Consumer","LCD","Direct-lit LED","84.6","3,061.5","3840","2160","Other","No","Universal Serial Bus (USB),HDMI","None","None","None","No","N/A","188.8","160.71","188.8","347.06",,"0.36","0.31","0.36","05/14/2024","05/21/2024","United States, Canada","ES_25251_LE-85TE1_05142024200053_293237"
"3814686","EP-TEC Solutions Pte Ltd","InfinityPro","Smart 55","Smart 55","","","Television (TV)","Consumer","LCD","Direct-lit LED","54.58","1,275.91","2160","3840","4K (UHD)","No","None","Other","Other","None","No","N/A","86.33","114.79","86.33","159.33","0.26","0.25","0.26","0.26","11/18/2024","11/22/2024","United States, Canada","ES_1148598_Smart 55_11182024194443_8173181"
